,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
5841,25-29,Man,Portugal,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Academics/Education,0-49 employees,$0-999,,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
5842,25-29,Woman,Russia,Master’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,50-249 employees,$0-999,,"Python, SQL, MATLAB","Visual Studio Code (VSCode) ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
5847,30-34,Man,Peru,Master’s degree,Business Analyst,< 1 years,A laptop,Online Business/Internet-based Sales,250-999 employees,"4,000-4,999",,"Python, R, SQL, MATLAB","RStudio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",
5864,40-44,Man,Mexico,Doctoral degree,Business Analyst,5-10 years,A laptop,Accounting/Finance,"10,000 or more employees",,,"Python, R, SQL, Other","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",,
5875,30-34,Man,Russia,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Accounting/Finance,"10,000 or more employees","15,000-19,999",Oracle Database ,"Python, SQL, Bash, Other","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, Plotly Dash   Streamlit   GitHub   Colab 
5892,22-24,Man,Indonesia,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,0-49 employees,$0-999,,"Python, SQL, C++, Java","Visual Studio ,PyCharm , Notepad++", Matplotlib , None of these activities are an important part of my role at work,
5894,25-29,Woman,Thailand,Master’s degree,Data Analyst,I have never written code,,Government/Public Service,"1000-9,999 employees",$0-999,,,,,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",
5903,25-29,Man,India,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Marketing/CRM,250-999 employees,"2,000-2,999",MySQL ,"Python, SQL","Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ", Build and/or run a machine learning service that operationally improves my product or workflows, Kaggle 
5914,22-24,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,250-999 employees,"1,000-1,999",,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle   Colab 
5918,30-34,Woman,Ireland,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Shipping/Transportation,"10,000 or more employees","10,000-14,999",, Other,Jupyter Notebook, None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
5922,45-49,Man,Spain,Doctoral degree,Business Analyst,20+ years,A laptop,Energy/Mining,50-249 employees,"50,000-59,999",PostgreSQL ,"Python, SQL, Java, Javascript","Visual Studio Code (VSCode) ,PyCharm , Notepad++, Sublime Text,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",I do not share my work publicly
5926,22-24,Man,India,Master’s degree,Data Analyst,I have never written code,,Online Business/Internet-based Sales,0-49 employees,"7,500-9,999",,,,,Analyze and understand data to influence product or business decisions,
5950,30-34,Man,India,Bachelor’s degree,Business Analyst,I have never written code,,Insurance/Risk Assessment,"10,000 or more employees",$0-999,,,,, Experimentation and iteration to improve existing ML models,
5954,25-29,Man,United States of America,Bachelor’s degree,Data Analyst,< 1 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Marketing/CRM,250-999 employees,"50,000-59,999",,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
5964,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,I have never written code,,Medical/Pharmaceutical,"1000-9,999 employees","2,000-2,999",,,,, None of these activities are an important part of my role at work,
5975,25-29,Woman,Other,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,0-49 employees,$0-999,Microsoft SQL Server ,"Python, R, SQL, C++, Javascript, MATLAB","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++,MATLAB ",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle 
5981,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,A laptop,,,,,"Python, R, SQL, C, MATLAB",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",,
5996,45-49,Man,Nigeria,Bachelor’s degree,Data Analyst,10-20 years,A laptop,Accounting/Finance,"10,000 or more employees","20,000-24,999",Oracle Database ," SQL, Other",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
5997,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Academics/Education,0-49 employees,$0-999,,"Python, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,MATLAB ", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
6005,25-29,Man,Japan,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Manufacturing/Fabrication,"1000-9,999 employees","4,000-4,999",,Python,Jupyter Notebook, None, None of these activities are an important part of my role at work,
6010,40-44,Man,Peru,Bachelor’s degree,Data Analyst,10-20 years,A laptop,Academics/Education,0-49 employees,"20,000-24,999",Microsoft SQL Server ,"Python, SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, GitHub   Personal blog  Other
6023,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","5,000-7,499",MySQL ,"Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", GitHub   Kaggle 
6034,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,A laptop,Retail/Sales,50-249 employees,"2,000-2,999",,"Python, SQL, C","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",
6044,30-34,Man,Philippines,Bachelor’s degree,Business Analyst,I have never written code,,Non-profit/Service,0-49 employees,"5,000-7,499",,,,,Analyze and understand data to influence product or business decisions,
6057,35-39,Man,Turkey,Doctoral degree,Data Analyst,5-10 years,A laptop,Military/Security/Defense,"10,000 or more employees",$0-999,,"Python, SQL, MATLAB"," Spyder,MATLAB ,Jupyter Notebook", Matplotlib , None of these activities are an important part of my role at work,I do not share my work publicly
6064,45-49,Man,Singapore,Master’s degree,Data Analyst,3-5 years,A laptop,Government/Public Service,"1000-9,999 employees","80,000-89,999",Google Cloud BigQuery ,"Python, R","RStudio ,Visual Studio Code (VSCode) , Spyder","Seaborn ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub 
6078,22-24,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Medical/Pharmaceutical,"1000-9,999 employees","1,000-1,999",,"Python, R, SQL, Java, Javascript, Swift, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",
6079,22-24,Man,China,Professional doctorate,Business Analyst,3-5 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Broadcasting/Communications,"1000-9,999 employees","4,000-4,999",,"Python, SQL"," Spyder, Notepad++,Jupyter Notebook",Plotly / Plotly Express , Build prototypes to explore applying machine learning to new areas, Shiny 
6092,50-54,Man,Spain,Doctoral degree,Data Analyst,20+ years,A personal computer / desktop,Academics/Education,250-999 employees,"50,000-59,999",,"Python, R, C++, MATLAB, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,MATLAB "," Matplotlib ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",I do not share my work publicly
6095,30-34,Woman,Sweden,No formal education past high school,Data Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,,,"Python, SQL"," Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",,
6098,45-49,Man,India,Master’s degree,Business Analyst,< 1 years,A laptop,Marketing/CRM,0-49 employees,"10,000-14,999",MySQL ,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle   Shiny 
6103,22-24,Man,India,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, Java",PyCharm , None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6109,40-44,Man,United States of America,Master’s degree,Data Analyst,3-5 years,A laptop,Energy/Mining,50-249 employees,"100,000-124,999",Amazon RDS ,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm ", Matplotlib ,Analyze and understand data to influence product or business decisions,
6118,30-34,Man,Thailand,Master’s degree,Business Analyst,10-20 years,A laptop,Computers/Technology,"10,000 or more employees","100,000-124,999",,"Python, SQL, Java","RStudio ,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
6132,35-39,Man,Spain,Master’s degree,Data Analyst,10-20 years,A personal computer / desktop,Computers/Technology,50-249 employees,,,"Python, R, SQL, C++, Java, Bash","RStudio , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
6136,40-44,Man,Kazakhstan,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Manufacturing/Fabrication,"1000-9,999 employees","50,000-59,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,
6146,25-29,Woman,China,Master’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,"10,000-14,999",,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ,D3 js ,Leaflet / Folium "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle   Colab 
6151,30-34,Man,Ukraine,No formal education past high school,Data Analyst,< 1 years,A laptop,Retail/Sales,250-999 employees,"2,000-2,999",Google Cloud BigQuery ,"Python, SQL","PyCharm , Notepad++", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Kaggle 
6153,45-49,Man,United States of America,Master’s degree,Business Analyst,1-3 years,A laptop,Energy/Mining,"10,000 or more employees","200,000-249,999",,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Plotly Dash   GitHub 
6157,35-39,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Accounting/Finance,0-49 employees,"10,000-14,999",,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
6163,30-34,Man,India,Master’s degree,Business Analyst,< 1 years,A laptop,Medical/Pharmaceutical,"10,000 or more employees","1,000-1,999",,Python,Visual Studio Code (VSCode) , None,Analyze and understand data to influence product or business decisions,
6167,30-34,Woman,France,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Marketing/CRM,250-999 employees,"1,000-1,999",,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Other
6169,40-44,Man,India,Master’s degree,Business Analyst,< 1 years,None,Computers/Technology,"10,000 or more employees","30,000-39,999",Oracle Database ,"Python, Java",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6177,25-29,Man,Poland,Master’s degree,Data Analyst,3-5 years,A laptop,Shipping/Transportation,0-49 employees,"50,000-59,999",Microsoft SQL Server ," R, SQL",RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
6183,45-49,Man,South Africa,Bachelor’s degree,Business Analyst,3-5 years,A laptop,Government/Public Service,"1000-9,999 employees","30,000-39,999",, SQL, None, None, None of these activities are an important part of my role at work,I do not share my work publicly
6193,25-29,Man,India,Master’s degree,Business Analyst,< 1 years,A laptop,Energy/Mining,250-999 employees,"7,500-9,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",
6196,35-39,Woman,United States of America,Master’s degree,Data Analyst,1-3 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Online Service/Internet-based Services,250-999 employees,"70,000-79,999",Amazon Redshift ,"Python, SQL"," Sublime Text, Vim / Emacs,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions, GitHub   Colab 
6200,25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Computers/Technology,250-999 employees,"4,000-4,999",Microsoft Azure SQL Database ," R, SQL","RStudio ,Visual Studio ,PyCharm , Notepad++, Sublime Text,Jupyter Notebook","Ggplot / ggplot2 ,Geoplotlib ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6204,45-49,Man,United States of America,Master’s degree,Business Analyst,20+ years,A laptop,Accounting/Finance,0-49 employees,"125,000-149,999",,"Python, SQL, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,D3 js ",Analyze and understand data to influence product or business decisions,
6206,22-24,Man,India,Master’s degree,Business Analyst,1-3 years,None,Computers/Technology,250-999 employees,"4,000-4,999",, None, None, None, None of these activities are an important part of my role at work,
6226,40-44,Man,Canada,Master’s degree,Business Analyst,< 1 years,A laptop,Insurance/Risk Assessment,"10,000 or more employees","40,000-49,999",Google Cloud BigQuery ,"Python, R, SQL","RStudio , Notepad++","Ggplot / ggplot2 , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Other", GitHub   Kaggle 
6233,25-29,Man,Other,Master’s degree,Data Analyst,1-3 years,A laptop,,,,,Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",,
6238,18-21,Man,India,No formal education past high school,Data Analyst,3-5 years,A laptop,Energy/Mining,50-249 employees,"4,000-4,999",,"Python, R, C, C++, Javascript","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
6246,40-44,Man,Japan,Bachelor’s degree,Data Analyst,1-3 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Computers/Technology,"10,000 or more employees","100,000-124,999",,Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Colab 
6248,25-29,Man,Australia,Master’s degree,Data Analyst,1-3 years,A laptop,,,,,"Python, SQL, C++, Java",PyCharm ,"Plotly / Plotly Express ,Geoplotlib ",,
6264,35-39,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Energy/Mining,0-49 employees,$0-999,,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
6275,40-44,Man,India,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Online Service/Internet-based Services,250-999 employees,"40,000-49,999",MySQL ,"Python, R, SQL, Other","RStudio ,PyCharm , Other",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",I do not share my work publicly
6285,22-24,Man,India,Master’s degree,Business Analyst,5-10 years,A laptop,Online Service/Internet-based Services,250-999 employees,"4,000-4,999",,Python,"Visual Studio Code (VSCode) ,PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work,
6286,25-29,Woman,Viet Nam,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,,,"Python, SQL","PyCharm , Sublime Text", Matplotlib ,,
6287,35-39,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Medical/Pharmaceutical,50-249 employees,$0-999,, Other, None, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
6308,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Insurance/Risk Assessment,"10,000 or more employees","5,000-7,499",,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
6314,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,A laptop,Broadcasting/Communications,"1000-9,999 employees",$0-999,MySQL ,"Python, R, SQL","RStudio ,PyCharm , Spyder, Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
6316,35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,A laptop,Computers/Technology,250-999 employees,"2,000-2,999",,Python,Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,
6317,35-39,Man,Germany,Master’s degree,Data Analyst,5-10 years,A laptop,Retail/Sales,"1000-9,999 employees","40,000-49,999",," R, SQL",RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6320,45-49,Man,Belgium,Bachelor’s degree,Data Analyst,10-20 years,A laptop,Accounting/Finance,"1000-9,999 employees","60,000-69,999",,"Python, R, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
6323,30-34,Man,South Korea,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,0-49 employees,"4,000-4,999",MongoDB ,Python,Jupyter Notebook," Matplotlib ,Seaborn "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Kaggle 
6329,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Online Service/Internet-based Services,0-49 employees,$0-999,,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ", Do research that advances the state of the art of machine learning,
6330,18-21,Man,Philippines,No formal education past high school,Data Analyst,< 1 years,A laptop,Online Service/Internet-based Services,250-999 employees,"3,000-3,999",,"Python, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,
6331,22-24,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A laptop,Insurance/Risk Assessment,"1000-9,999 employees",$0-999,Microsoft Azure Cosmos DB ,"Python, SQL",Jupyter Notebook,Seaborn ,Analyze and understand data to influence product or business decisions, GitHub   Kaggle   Colab 
6355,60-69,Man,Other,Master’s degree,Business Analyst,< 1 years,A laptop,Government/Public Service,50-249 employees,$0-999,,Python,"Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
6361,22-24,Woman,Iraq,Bachelor’s degree,Data Analyst,1-3 years,,,,,,"Python, SQL, Java, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ",,,
6375,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,250-999 employees,$0-999,,"Python, Javascript","Visual Studio ,PyCharm ", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6395,25-29,Man,India,Master’s degree,Data Analyst,I have never written code,,Accounting/Finance,50-249 employees,"7,500-9,999",,,,,Analyze and understand data to influence product or business decisions,
6396,50-54,Man,Russia,Doctoral degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,"10,000 or more employees","60,000-69,999",, None, None,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions, Kaggle 
6414,30-34,Woman,United States of America,Master’s degree,Business Analyst,< 1 years,A personal computer / desktop,Shipping/Transportation,0-49 employees,,,"Python, R, SQL",Jupyter Notebook, None,,
6434,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Academics/Education,0-49 employees,$0-999,,"Python, C, C++, Java","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub 
6435,25-29,Man,Morocco,Master’s degree,Data Analyst,5-10 years,A laptop,Energy/Mining,0-49 employees,"10,000-14,999",,Python,Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6440,22-24,Woman,Other,Doctoral degree,Business Analyst,I have never written code,,Accounting/Finance,250-999 employees,"4,000-4,999",,,,," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
6445,22-24,Woman,India,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,250-999 employees,"7,500-9,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder"," Matplotlib ,Seaborn ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Other
6446,25-29,Woman,South Korea,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Government/Public Service,0-49 employees,$0-999,, R,RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,
6449,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Government/Public Service,250-999 employees,"40,000-49,999",,"Python, R, SQL","RStudio ,PyCharm , Notepad++,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
6451,45-49,Man,Spain,Doctoral degree,Data Analyst,5-10 years,A personal computer / desktop,Academics/Education,"1000-9,999 employees","125,000-149,999",MySQL ,"Python, R, SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Sublime Text","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Plotly Dash   Personal blog   Shiny 
6453,40-44,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,1-3 years,A laptop,Marketing/CRM,"10,000 or more employees","40,000-49,999",Microsoft Azure SQL Database ,"Python, R, SQL, Other","RStudio , Notepad++,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", Kaggle 
6455,25-29,Man,Italy,Master’s degree,Data Analyst,3-5 years,A laptop,Insurance/Risk Assessment,"1000-9,999 employees","30,000-39,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",I do not share my work publicly
6467,35-39,Man,France,Master’s degree,Business Analyst,3-5 years,A laptop,Retail/Sales,"10,000 or more employees","90,000-99,999",,"Python, SQL"," Spyder,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Other",
6473,30-34,Man,Greece,Master’s degree,Business Analyst,< 1 years,A laptop,Broadcasting/Communications,"10,000 or more employees","15,000-19,999",,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
