,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
10531,22-24,Man,United States of America,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","80,000-89,999",,"Python, R","RStudio , Spyder,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle 
10532,22-24,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,50-249 employees,$0-999,Microsoft SQL Server ,"Python, R, SQL, Java, Javascript","RStudio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Personal blog   Kaggle 
10533,25-29,Man,India,Master’s degree,Business Analyst,I have never written code,,Accounting/Finance,50-249 employees,"5,000-7,499",,,,,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
10535,25-29,Prefer not to say,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,A laptop,Other,0-49 employees,"25,000-29,999",Google Cloud BigQuery ,"Python, R, SQL, C, C++",RStudio ," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models", GitHub 
10542,40-44,Woman,United States of America,Master’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,50-249 employees,"70,000-79,999",Microsoft Azure SQL Database ," R, SQL","RStudio ,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Personal blog 
10558,35-39,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,$0-999,,"Python, R, SQL, Javascript, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ", Other,
10559,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A laptop,Energy/Mining,250-999 employees,$0-999,Microsoft SQL Server ,"Python, SQL",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", GitHub   Colab 
10561,25-29,Woman,India,Master’s degree,Data Analyst,I have never written code,,Marketing/CRM,"1000-9,999 employees",$0-999,,,,,Analyze and understand data to influence product or business decisions,
10562,30-34,Man,India,Bachelor’s degree,Data Analyst,5-10 years,A laptop,Computers/Technology,"10,000 or more employees","1,000-1,999",Microsoft SQL Server ,"Python, R, SQL, C, Javascript","RStudio ,Visual Studio , Notepad++, Sublime Text, Vim / Emacs,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ,D3 js ", None of these activities are an important part of my role at work, GitHub 
10563,45-49,Man,Pakistan,Bachelor’s degree,Business Analyst,I have never written code,,Hospitality/Entertainment/Sports,0-49 employees,"30,000-39,999",,,,,Analyze and understand data to influence product or business decisions,
10565,40-44,Man,France,Master’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,250-999 employees,"50,000-59,999",MySQL ,"Python, SQL","Visual Studio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
10574,40-44,Man,Belgium,Master’s degree,Data Analyst,10-20 years,A personal computer / desktop,Government/Public Service,"10,000 or more employees","70,000-79,999",,"Python, SQL, Java"," Spyder, Notepad++, Sublime Text", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
10575,22-24,Man,Egypt,Bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Online Business/Internet-based Sales,0-49 employees,$0-999,MySQL ,"Python, Javascript","Visual Studio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
10584,25-29,Man,Other,Bachelor’s degree,Data Analyst,5-10 years,A personal computer / desktop,Hospitality/Entertainment/Sports,50-249 employees,"40,000-49,999",,"Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ", None of these activities are an important part of my role at work,
10588,25-29,Man,India,Master’s degree,Business Analyst,I have never written code,,Shipping/Transportation,"10,000 or more employees","5,000-7,499",,,,,Analyze and understand data to influence product or business decisions,
10606,30-34,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,0-49 employees,"1,000-1,999",MySQL ,Python,"Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
10623,25-29,Man,India,Master’s degree,Data Analyst,5-10 years,A laptop,Computers/Technology,250-999 employees,"15,000-19,999",Microsoft SQL Server ,"Python, R, SQL","RStudio ,PyCharm , Sublime Text, Vim / Emacs,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",I do not share my work publicly
10625,40-44,Man,India,Bachelor’s degree,Business Analyst,3-5 years,A laptop,Accounting/Finance,"10,000 or more employees","30,000-39,999",,Python,Jupyter Notebook," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work,
